Name,City,Application_date,Age,Housing
William Calhoun,Port Wendyhaven,2018-06-16,66,own
Heather Dyer,Port Jacksonborough,2018-09-24,35,own
Aaron Crawford,Alexisberg,2018-08-19,44,rent
Christine Howell,Ramosport,2018-12-04,27,own
Cynthia Barber,West Jerry,2018-08-18,30,own
Jeffrey Hammond,Stephanieborough,2018-03-20,27,own
Karen Warren,New Pamelaburgh,2018-03-26,22,own
Amanda Garcia,East Shannon,2018-07-08,23,own
David Wright,Mathewburgh,2018-07-13,30,own
Kelsey Owens PhD,West Stevenport,2018-08-18,39,own
Ricky Thomas,East Olivia,2018-09-24,51,own
Brooke Shaw,New Emmabury,2018-03-06,28,own
Gregory Marshall,Beasleyfort,2018-08-07,46,own
Bryan Mason,Cindystad,2018-11-12,42,free
Joshua Lewis,Cookefurt,2018-02-25,38,own
Tonya Hutchinson,South Walterburgh,2018-11-01,24,own
Judith Hensley,South Connor,2018-12-16,29,rent
Richard Hess,East Angelahaven,2018-07-23,36,rent
Thomas Nguyen,Port Edgarside,2018-11-02,20,rent
Mark Mays,Davisfurt,2018-05-25,48,own
Andrew Walls,Youngside,2018-08-10,45,own
Leslie Ortega,Robinstad,2018-04-28,38,own
Cassandra Goodman,East Lucasmouth,2018-03-08,34,own
Joe Leon,Danielside,2018-11-25,36,own
Jack Richardson,Lake Brandontown,2018-02-26,30,own
Susan Smith,South Troybury,2018-05-02,36,own
Jill Johnson,East Frankmouth,2018-05-02,70,free
Vanessa Wilkinson DDS,Frankchester,2018-01-06,36,own
Alex Carter,North Christina,2018-10-07,32,own
Susan Mcdaniel,South Sierramouth,2018-04-21,33,own
Gwendolyn Mitchell,Joelfurt,2018-07-10,20,own
Dominique Gibson,Sloanberg,2018-11-09,25,rent
Laura Harris,Harmonview,2018-04-03,31,own
Stephanie Rodriguez,West Dianeland,2018-07-21,33,rent
Sierra Bridges,West Joseph,2018-01-15,26,own
Amber Powell,East Marctown,2018-01-26,34,own
Ricky Johnson,Steelehaven,2018-03-23,33,own
Kristi Downs,East Kevinville,2018-12-31,26,own
Jeremy Villanueva,Michaelland,2018-05-09,53,own
John Bell,Lake Laurie,2018-02-25,42,own
Jennifer Rivera,Harmonview,2018-11-13,52,own
Adriana Goodman,Fergusonport,2018-02-10,31,rent
Tracy Snyder,North Jessica,2018-12-31,65,own
Richard Torres,West Joanborough,2018-03-24,28,own
Mr. Stephen Goodman,Simonside,2018-06-02,30,own
Shawn Larsen,Browntown,2018-11-20,40,own
Kent Butler,West Bradley,2018-11-01,50,own
Nathaniel Gonzalez,Owenville,2018-09-01,36,own
Kurt Thomas,Bryanstad,2018-01-02,31,own
Latoya Anderson,Lake Shannon,2018-05-15,74,free
Nicholas Grant,Westborough,2018-05-28,68,free
Martha Lane,Davidstad,2018-11-08,20,own
Carol Morrison,Port Kyleshire,2018-03-09,33,own
Maria Moreno,Cranechester,2018-02-04,54,own
Mariah Williams,Alexfort,2018-10-02,34,free
Whitney Edwards,Mooreshire,2018-12-14,36,own
Jasmine Weiss,Allenland,2018-04-26,29,rent
Elizabeth Smith,New Spencerfurt,2018-04-04,21,rent
Michael White,Romanmouth,2018-10-18,34,own
Melissa Cruz,Wangton,2018-09-13,28,own
Sheila Woods,Lake Natashafurt,2018-11-11,27,rent
Donna Orozco,North Bethmouth,2018-05-17,36,free
Karen Adams,New Betty,2018-05-08,40,own
Luke Mora,Michaelside,2018-06-04,52,own
Tracy Erickson,Johnnystad,2018-09-07,27,own
Connie Nelson,Port Mary,2018-12-16,26,own
Kyle Cruz,Robertmouth,2018-07-15,21,rent
Randy Choi,Cookbury,2018-11-19,38,own
Amber Lee,Rachelton,2018-03-19,38,free
David Griffin,East Mollyfurt,2018-04-11,43,own
Sara Hampton,South Charlesstad,2018-04-07,26,own
Sue Norton,North Nicholasmouth,2018-06-01,21,own
Angela Wolf,West Brandi,2018-11-26,55,own
Sean Boyer,Larryside,2018-07-24,33,own
Jessica Hull,Kimberlyfurt,2018-07-02,45,own
Shelly Gordon,New Lauren,2018-12-31,50,own
John Kelly,West Jerrymouth,2018-11-11,66,own
Heather Vasquez,East Kennethfurt,2018-04-10,51,own
Rachel Burgess,North Jennifer,2018-07-25,39,own
Christine Fritz,Prattfurt,2018-03-27,31,own
Lisa Cook,Port Kyle,2018-12-08,23,own
Melissa Nelson,Snydermouth,2018-08-12,24,rent
Mary Jackson,Guzmanchester,2018-11-30,64,own
Ariel Mcmillan,East Annafurt,2018-08-01,26,own
Randall Hernandez,Timothyshire,2018-02-26,23,rent
Richard Wiley,North Jonathan,2018-12-26,30,own
Eric Farrell,Grantchester,2018-04-29,32,own
Willie Santana MD,Lake Richard,2018-01-06,30,own
Anna Stevens,Lisamouth,2018-06-14,27,own
Anthony Weaver,Timothyside,2018-07-22,27,own
Amanda Turner,South Phyllis,2018-04-18,53,free
Jose Morris,North Rachel,2018-09-19,22,own
Zachary Burns DDS,Michaelstad,2018-09-11,22,free
Rita Lin,Johnsonhaven,2018-11-15,26,own
Sarah Joyce,Mccormickhaven,2018-01-23,51,free
Dawn Nguyen,North Michelleburgh,2018-08-22,35,own
Joshua Luna,West Ashleyfurt,2018-01-29,25,own
Becky Graham,Stephaniefort,2018-04-16,42,own
Brittney Lester,South Robert,2018-04-30,30,own
Roy Rodgers,Stephanieview,2018-03-28,23,own
Daniel Price,Lake Carolynfort,2018-03-02,61,rent
Pamela Huynh,Davidshire,2018-05-27,35,own
Tanya Campbell,West Pamela,2018-10-16,39,own
Jeffrey Cole,New Susan,2018-10-28,29,own
Gabrielle Flores,Mezaborough,2018-01-25,51,own
Brian Brown,West Brentfurt,2018-03-14,24,free
Allen Owen,Hermanmouth,2018-02-14,27,own
Nicholas Moore,East Jackfort,2018-06-05,35,own
Megan Caldwell,Josephstad,2018-03-10,25,own
Charles Dickerson,Jenniferchester,2018-12-19,52,own
Carl Garcia,Tranbury,2018-05-07,35,rent
Ebony Black,New Jessicabury,2018-09-07,26,own
Natalie Becker,East Susanburgh,2018-04-26,22,rent
Yolanda Stewart,Rodriguezton,2018-08-16,39,own
Katherine Edwards,New Jasonview,2018-08-21,46,own
John West,Harrisonberg,2018-01-11,24,own
Erik Mcconnell,New Carol,2018-11-23,35,own
Erica Ferguson,Harperberg,2018-06-11,24,own
Janet Green,Johnsonmouth,2018-02-07,27,own
Garrett Brown,North Sabrinastad,2018-11-12,35,own
Monica Wood,Yuberg,2018-06-29,29,free
Jennifer Larson,Pierceview,2018-12-23,23,own
Jon Washington,Freemanville,2018-07-29,57,own
Carla Meyers DDS,East Joshua,2018-04-21,27,own
Kimberly Peterson,Leestad,2018-01-21,55,own
Vanessa Coleman,Lake Dennis,2018-09-26,36,free
Scott Rogers Jr.,Nicholasport,2018-08-07,57,free
Brent Carter,East Nicholas,2018-02-07,32,own
Ethan Meyers,Baldwinstad,2018-08-17,37,own
Dale Jones,South Kristenmouth,2018-06-15,36,own
Joanne Thompson,East Carrie,2018-08-28,38,own
Christina Molina,North Robinside,2018-01-29,45,own
Jennifer Gomez,Terranceland,2018-12-23,25,own
William Savage,West Brenda,2018-02-23,32,own
Ashley Snyder,Odonnellmouth,2018-05-13,37,rent
Scott Daniels,Lake Sharon,2018-07-17,36,free
Kayla Brooks,Port Gregorybury,2018-03-25,28,own
Richard Lee,South Alishafort,2018-11-15,34,own
Rachel Martinez,South Danielchester,2018-07-20,32,own
Stacy Sharp,Lake Markshire,2018-03-21,26,own
Patricia Hancock,West Steventon,2018-12-19,49,own
Joshua Walker,Melissaside,2018-08-25,32,own
Linda Williamson,New Briantown,2018-05-23,29,rent
Jamie Hodge,West Beth,2018-09-24,23,rent
Eric Gonzalez,West Beth,2018-09-12,50,own
Thomas Lopez,Hawkinsport,2018-09-13,49,own
Ashley Hill,Hensonville,2018-10-19,63,own
Nicholas Murphy,West Tracyfort,2018-08-24,37,own
Kristina Willis,East Carlos,2018-11-17,35,own
Tina Moore,West Robert,2018-11-18,26,own
Suzanne Roberts,Schaeferburgh,2018-12-12,31,free
Tamara Bailey,Hodgesfort,2018-09-12,49,own
Steve Rose,Rodriguezmouth,2018-03-02,48,own
Timothy Henderson,West Jason,2018-12-04,26,own
Sarah Young,Richardview,2018-02-03,28,rent
Denise Richards,Silvastad,2018-03-11,44,free
Christopher Bradford,Ryanburgh,2018-05-28,56,free
Jesse Harris,North Tiffany,2018-01-22,46,own
Donna Brock,Courtneyhaven,2018-05-02,26,own
Nicholas Shaffer,East Leslie,2018-09-04,20,rent
Kimberly Huffman,South Felicialand,2018-12-31,45,own
Nicole Bright,Johnsonmouth,2018-05-23,43,own
Charles Ward,West Stevenbury,2018-04-22,32,own
Patricia Smith,Brittanyfort,2018-07-20,54,own
Dr. Dominique Barnes,Allenside,2018-07-28,42,own
Kathryn Willis,Robertsborough,2018-01-07,37,own
Shannon Avila,North Jessica,2018-10-15,49,own
Diamond Steele,New Hunter,2018-11-17,44,free
Andrew Wade,Carolland,2018-10-21,33,own
Andre Duffy,Carolinestad,2018-03-25,24,rent
William Eaton,Dennishaven,2018-07-21,33,own
John West,North Shannonton,2018-11-19,24,own
Jenna Smith,Fitzgeraldside,2018-08-26,22,rent
Amy Fowler,Martinmouth,2018-03-10,40,free
Douglas Davis,New Robertfurt,2018-08-29,25,own
Jeffrey Terry,East Eddie,2018-06-12,26,own
Monica Smith,Garnerville,2018-09-18,25,own
Jeremy Lopez,Taylorchester,2018-10-26,29,own
Richard Mora,Reneeport,2018-01-30,31,own
Jessica Nichols,Lake Taylorburgh,2018-04-27,38,own
Barry Smith,Lynnside,2018-08-01,48,own
Thomas Bryan,Esteschester,2018-04-01,32,own
Colleen Alexander,Hendersonhaven,2018-11-19,27,own
Katrina Larson,Port Hannah,2018-02-07,28,own
Eric Brock,Peterport,2018-02-28,32,own
Sarah Reyes,Gonzaleschester,2018-08-05,34,free
Jason Newman,New Daniel,2018-08-07,28,own
Michael Padilla,North Julieport,2018-03-30,36,own
John Patterson,Mullenchester,2018-09-01,39,own
George Cain,Reginatown,2018-01-17,49,rent
Kayla Paul,West Jenniferfurt,2018-03-23,34,own
Madeline Smith,North Kimberly,2018-07-01,31,own
Janice Reyes,West Eric,2018-08-07,28,own
Christine Taylor,Alejandrashire,2018-07-08,75,free
Allen Marquez,East Michael,2018-05-08,30,own
Laurie Montes,Robinsonmouth,2018-12-10,24,own
Michelle Phillips,Lake Richard,2018-04-23,24,rent
William Gaines,Brettmouth,2018-01-18,23,rent
Darryl Wallace,Adamport,2018-08-09,44,rent
Robert Bender,Lambville,2018-10-16,23,own
Mark Smith,West Lorishire,2018-02-08,24,rent
Kevin Russell,Turnerton,2018-07-06,28,own
Ashley Rodriguez,Blakeville,2018-02-24,31,own
Rachel Romero,East Joshua,2018-01-06,24,free
Rose Anderson,Franciscoton,2018-02-18,26,rent
Mindy Turner,North Corey,2018-01-20,25,rent
Kenneth Rodriguez,Mccoybury,2018-02-19,33,own
Travis Phillips,East Jamesmouth,2018-05-30,37,own
Tammy Murphy,Port Anita,2018-04-26,43,own
Travis Benjamin,Lake Donnabury,2018-05-19,23,own
Terry Martinez,South Lorifort,2018-12-21,23,rent
Joshua Richard,Johnbury,2018-11-28,34,own
Philip Carson,New Katiechester,2018-02-12,32,free
Jeffrey Weeks,Kaitlinview,2018-03-17,23,rent
Lawrence Maldonado,Jessicaberg,2018-07-16,29,own
Dawn Black,North Robert,2018-01-11,38,own
Sonya Stafford,East Curtis,2018-06-09,28,rent
Jacob Thomas,Danielbury,2018-01-19,46,free
John Howard,Port Jacob,2018-01-31,23,own
Robert Ryan,Shanebury,2018-01-30,49,own
Shaun Schmidt,New Teresa,2018-09-21,26,own
Shannon Harding,Lake Kevinfort,2018-01-20,28,own
Dylan Bullock,Katherineport,2018-07-31,23,rent
Melissa Sanchez,North Johnside,2018-06-30,61,free
Joanna Brown,South Tammyport,2018-11-13,37,own
Katherine Barker,North Stephanieville,2018-02-16,36,own
Antonio Taylor,Melissachester,2018-09-20,21,rent
Tamara Rivas,East Ryantown,2018-09-05,25,own
Destiny Dodson,Cindyside,2018-09-28,36,own
Mark Roberts,Stephensberg,2018-09-15,27,own
Scott Kaufman,Shortport,2018-03-11,22,rent
Dawn Anderson,Edwardston,2018-02-26,42,own
Kristine Davila,Brandonport,2018-10-28,40,rent
Sergio Phillips,Lake Christopherfurt,2018-11-01,36,own
Jennifer Hoover,South Jacobtown,2018-12-09,33,own
Gina Gordon,West Brenda,2018-01-21,23,rent
Tracey Edwards,South Jennifer,2018-09-01,63,free
Stephanie Bass,Whitakerview,2018-02-28,60,free
Kristin Blackburn,Port Edwardport,2018-12-13,37,rent
James Figueroa,South Jenniferside,2018-08-06,34,own
Monica Pena,Lukehaven,2018-04-22,36,free
Nicholas Parker,Allenview,2018-04-18,57,free
Lori Lam,West Kayleeview,2018-09-07,52,own
Elijah Calderon,Brianstad,2018-08-12,39,own
Cynthia Stevens,West Angela,2018-11-26,38,free
Dana Fletcher,Allenburgh,2018-02-05,25,rent
Robert Moss,Randallfort,2018-11-18,26,own
Lindsay Olson,Port Angelchester,2018-04-07,26,own
Tony Smith,Kaitlynport,2018-06-27,25,own
Nicholas Harrington,Michaelmouth,2018-11-21,21,rent
Todd Perez,North Markton,2018-01-04,40,own
Stuart Reed,Jenniferview,2018-03-05,27,own
Timothy Wolfe,Blackborough,2018-11-13,27,own
Austin Moore,Michaelfort,2018-07-19,30,own
Thomas Turner,Ellismouth,2018-03-07,19,rent
Kevin Parker,Sandraside,2018-03-01,39,free
Destiny Fowler,Ericchester,2018-07-25,31,own
Kimberly Wright,East Jaimeshire,2018-09-13,31,own
Jerry Adkins,Port Kendra,2018-12-06,32,rent
Brittany Flowers,West Timothyview,2018-01-14,55,free
Nicole Williams,West Courtneymouth,2018-09-10,46,own
Kelly Weber,Donaldview,2018-11-12,46,rent
Amanda Lopez,Lake Stephanie,2018-12-12,43,own
Gary Goodman,New Daniel,2018-12-09,39,own
Sonya Huff,Stewartstad,2018-06-05,28,own
Tamara Valencia,New Julie,2018-03-24,27,own
Eric Merritt,Esparzaview,2018-07-31,27,own
David Sweeney,Port Andrewside,2018-08-17,43,own
Monica Romero,South Duane,2018-12-20,22,own
Deborah Rowland,Chenfort,2018-12-25,43,own
Monica Wilkinson,Holmeschester,2018-08-21,27,own
David Baker,Everettville,2018-01-28,26,own
Anthony Baker,South Anna,2018-08-03,28,own
Jennifer Hardy,North Kathy,2018-12-03,20,own
Stephanie Wade,Taraside,2018-05-07,35,own
Victoria Jennings,North Reginaldville,2018-08-23,42,own
Cody Arnold,Kimville,2018-02-15,40,rent
Zachary Grimes,Jonesview,2018-08-31,35,own
Pamela Rivera,Hughesbury,2018-12-25,35,own
Elizabeth Trujillo,East Edward,2018-09-15,33,own
Scott Bryant,East Vicki,2018-11-19,23,rent
Alice Snyder,Racheltown,2018-12-10,31,own
Laura Smith,Lake Alexandraburgh,2018-09-28,33,own
Morgan Short,Lake Stevenfort,2018-01-01,20,rent
Jordan Patterson,Blairborough,2018-12-11,30,own
Dylan Price,South Donna,2018-04-13,47,own
Kayla Davis,New James,2018-12-22,34,own
Ralph Logan,Elizabethbury,2018-02-02,25,own
David Johnson,Maddenchester,2018-12-29,21,rent
Carl Weiss,Hollandstad,2018-04-13,29,own
Jennifer Trujillo,East Erica,2018-10-04,46,own
Amy Sutton,Christopherhaven,2018-09-29,20,own
Holly Fields,Weaverburgh,2018-09-06,55,free
Gregory Hernandez,Hollandstad,2018-05-20,74,own
Daniel Sharp,Ashleyfort,2018-05-17,29,own
Donald Jones,North Maryfort,2018-06-03,36,free
Amy Gilbert MD,New Louis,2018-03-19,33,own
Anthony Hayden,Port Jenniferberg,2018-05-26,25,own
Miss Jennifer Bentley,Christineshire,2018-07-13,25,own
Michele Montgomery,Jessicabury,2018-05-12,23,rent
Andre Castillo PhD,East Kim,2018-03-20,37,own
Jeffrey Knight,Allisonburgh,2018-02-24,65,own
Diane Weiss,Hawkinschester,2018-02-01,26,own
Monique Miranda,South Cynthia,2018-08-15,39,own
Jack Henderson,South Marissaton,2018-11-07,30,own
Philip Wright,Carolinefort,2018-08-22,29,own
Thomas Martin,Jonchester,2018-05-28,41,own
Jennifer Campbell,Dannyhaven,2018-07-27,30,own
Scott Russell,East Jamesville,2018-03-09,41,rent
Nathaniel Garner,Bellbury,2018-03-14,34,own
Melissa Caldwell,Salazarview,2018-07-29,35,own
Kyle Cooper,Rebeccashire,2018-05-01,55,own
Samantha Oliver,Lake Jennifer,2018-09-22,61,own
Kristen Garcia,Roseshire,2018-05-01,30,own
James Castillo,North Lori,2018-03-01,29,own
Robert Brown,Port Christopher,2018-11-20,34,own
Jacob Small,North Johnshire,2018-08-05,35,own
Shawn Gomez,Lake Mary,2018-04-30,31,own
Dana Parker,East Steveshire,2018-12-16,29,own
Kimberly Villa,Jamestown,2018-02-02,36,rent
Matthew Chapman,Port Adamfurt,2018-07-01,35,free
Maria Mcguire,South Emmaside,2018-02-16,27,own
Diane Lee,East Calvinstad,2018-12-31,32,own
Eric Clark,East Ronaldberg,2018-08-12,37,own
Kelsey Scott,Roseborough,2018-02-15,36,own
Donald Tucker MD,Robertview,2018-07-13,34,rent
Roy Shaw,Mckaymouth,2018-05-19,38,own
Robert Hardin,Kristinashire,2018-01-09,34,own
Chad Myers,West Kelly,2018-09-24,63,own
William Flynn,North Angelaport,2018-04-20,29,rent
Kenneth Cabrera,Johnsonburgh,2018-12-09,32,own
Timothy Meyer,Billyton,2018-02-15,26,own
Carl Cole,East Justin,2018-11-19,35,own
John Cunningham,West Jeremy,2018-09-13,22,rent
Nancy Miller,Danielville,2018-05-16,23,own
Sandra Harrington,South Ashleyborough,2018-09-22,28,own
Shari Cohen,North Michael,2018-08-19,36,own
Ashley Moore,New Christopherchester,2018-10-11,33,own
Mark Sloan DVM,Beantown,2018-11-27,26,rent
Leslie Simmons,Murraymouth,2018-03-06,24,own
Steven Woodward,Port Keith,2018-08-31,25,own
Jerry Perkins,West Annettehaven,2018-08-10,39,own
Jesus Trevino,New Benjaminfurt,2018-04-18,44,own
Denise Cameron,Nicoleshire,2018-01-30,23,own
James Zhang,Garyville,2018-04-10,26,own
Anne Lewis,East Eric,2018-05-04,57,rent
Mary Swanson,Lake Peter,2018-09-28,30,own
Anthony Mitchell,Maddoxtown,2018-05-04,44,own
Theresa Roberts,Beckyville,2018-05-05,47,own
Diana Little,Juliahaven,2018-09-22,52,own
Paul Cole,New Laurenshire,2018-05-03,62,free
Monique Schaefer,New Michaelmouth,2018-03-18,35,rent
Cynthia Greene,Shannonton,2018-10-02,26,rent
Molly Nixon,North Anthonyfurt,2018-02-24,26,own
Dr. Sarah Green,Ginaton,2018-05-27,42,free
Matthew Hess,Rosalesfurt,2018-11-02,27,own
Scott Richard,New Victoria,2018-01-28,38,own
Chase Moore,West Nicholasberg,2018-06-03,39,rent
Michelle Henry,Port Annbury,2018-05-28,20,own
Christina Newton,New Patricia,2018-08-08,29,rent
Katherine Tran,Alexisburgh,2018-11-24,40,own
Charles Kelley,Port Nicolestad,2018-12-17,32,own
Meghan Huff,Aprilmouth,2018-10-31,28,own
Allen Mcmillan,Barnesstad,2018-09-03,27,own
John Dawson,Lake Lucas,2018-11-13,42,free
Stephen Winters,East Jessica,2018-06-23,49,own
Ernest Holden,New Alicia,2018-06-10,38,own
Mark Powell,Baileyview,2018-09-17,24,rent
Christine Perry,Jonesmouth,2018-08-26,27,own
Melissa Lee,Kathyview,2018-12-18,36,own
Patricia Yates,East Thomas,2018-06-24,34,own
Larry Scott,Hannahview,2018-04-28,28,own
Micheal Thompson,Lake Ian,2018-03-27,45,own
Breanna Moore,East Garyfurt,2018-10-08,26,own
Melissa Deleon,East Deannatown,2018-05-03,32,free
Crystal Kim,West Brianside,2018-08-20,26,rent
Mr. Peter Vang DVM,West Jerry,2018-08-21,20,rent
Charles Webster,South Williamland,2018-06-25,54,own
Jason Hicks,Scottport,2018-11-08,37,own
Alexis Mills,New Joshualand,2018-12-21,40,own
Melinda Guerra,Johnside,2018-10-19,23,rent
Mark Brown,East David,2018-10-01,43,own
Leah Castaneda,Johnsonfurt,2018-08-05,36,free
Susan Hernandez DDS,Lake Dawnbury,2018-07-10,44,free
Dale Moore,Lake Claire,2018-12-07,24,own
David Oliver,West Jessicastad,2018-10-11,53,free
Jack Dixon,Port Ericfurt,2018-12-10,23,own
